t,d,x1,x2
1.2348621,1,.8440286,-.4790718
1.6738266,1,1.325502,-2.427639
2.8320901,1,-1.027233,-.9611254
.52208433,1,.0698805,-.8804807
1.5811232,1,-.635787,-.3160297
2.4860145,1,-.7706873,.5328084
5,0,1.6499,1.326363
.2557776,1,-1.247823,.2013222
.34630787,1,-.5009886,.3492513
1.58467,1,-.6532751,-.8581437
4.5778366,1,-.2496836,.5945165
3.3020303,1,-.4168222,-1.299656
5,0,-.0306958,-.8562742
.53587629,1,-.9407772,.9285669
5,0,-.4549944,.4523884
5,0,.6404324,-.6782893
1.6844789,1,1.606191,-1.812946
5,0,.2748819,-.0313951
.67694801,1,.4792038,-.0145302
.43409234,1,.6816573,-.7309524
1.7257645,1,-.4943487,.1959302
5,0,-.0349743,-.3595755
.23336005,1,-1.704525,-.7257004
.31532403,1,1.489587,-1.963036
1.8311991,1,-.5334788,.5793218
5,0,-.9005545,-.4869978
.43740236,1,.3284162,-.1818701
5,0,-.9168124,-.402726
5,0,1.451359,.1181569
1.3271681,1,.2432172,-.4586528
5,0,.7493812,-1.766302
5,0,-1.7726,-.1059793
5,0,-.5492945,.0739285
5,0,.004577,.8482673
5,0,-1.742033,1.734485
5,0,-.1206408,-.2998116
5,0,-.0824354,.5196826
5,0,1.170882,-1.385321
1.897009,1,.4405227,.6545408
3.2134238,1,.1546739,-.6472065
.36573656,1,-.3126983,.83681
5,0,.5864587,-.5729295
3.7566538,1,-2.155353,.8433707
5,0,-1.217539,.2645322
5,0,1.93303,-.2841305
.53348478,1,-.7097472,.8789372
.50647124,1,1.311676,.0004047
.85481088,1,2.303814,1.416113
5,0,1.492953,-.1838017
5,0,.4200374,-.3422433
1.0566988,1,.0835486,-.2436187
5,0,-.1472792,1.273349
2.3449074,1,-.5549669,1.351586
5,0,-1.269578,-.3888985
3.500757,1,2.130352,1.857106
5,0,-.6831656,.4214199
.02753569,1,-.5606038,-.0744455
5,0,-.3341616,-.8739784
5,0,.7225655,-2.512588
5,0,2.004912,1.89126
5,0,-.0255818,-.2833756
5,0,1.403453,-.4779353
1.6944137,1,-.7782558,-.7136545
5,0,-.6155347,-1.121837
.01204602,1,-1.23698,1.297389
.18123128,1,.1219767,1.4991
5,0,1.484219,.6533973
2.3266281,1,-.0082934,.7842991
5,0,1.874701,.7529681
.35291357,1,-.5394,1.262954
3.9338147,1,.7968072,-1.848427
.16735216,1,-.6428663,1.611537
5,0,-1.084108,-.7914682
1.0380572,1,1.036291,1.078935
5,0,-.2087886,-1.482624
.21058545,1,1.047952,1.713764
5,0,.346496,-.4760532
3.9302114,1,-.7605973,.3021478
3.298078,1,-1.263006,.4212262
5,0,.423925,-1.073736
5,0,-.0446008,.5716017
2.8695975,1,.983918,-2.434802
5,0,1.381803,.8778505
5,0,-.2252376,.1674882
3.23837,1,.66806,1.350517
3.5417388,1,-.2247983,-.0480691
2.0108821,1,-1.093343,-.2744684
1.4358795,1,1.200148,-.2913059
5,0,-.3837475,.3374393
5,0,-.0027788,.8542354
3.4824087,1,.4072892,-.5460236
4.1302388,1,-.07385,.4200393
.61719982,1,1.432172,-.2624432
5,0,-2.7538,-.2680445
.03296923,1,-1.873914,.1632767
3.0512438,1,-1.170055,1.915976
5,0,-1.736894,-.2697434
5,0,-.1986104,-.4448083
.01848549,1,.1764522,.2815439
5,0,-.166979,1.833203
1.7639,1,2.292861,-.0446238
2.4616241,1,-1.047751,1.096268
1.2112954,1,-.76778,-1.440433
5,0,1.434801,.0968971
4.1341157,1,-.1524618,-.2013867
3.5178984,1,.1374065,-.1141873
1.9622061,1,-1.367319,-.5469591
5,0,-1.644507,-.088384
3.6791456,1,-.9025747,.2484872
5,0,-.5608069,-2.0734
5,0,1.222633,-.5451429
5,0,-1.750258,-.6748812
5,0,.9103256,-.1109844
5,0,-1.370772,-1.735037
5,0,-.7860793,-.3417561
